Instrument Token,Exchange Token,Trading Symbol,Name,Last Price,Expiry,Strike,Tick Size,Lot Size,Instrument Type,Segment,Exchange,Expiry Date
13572610,53018,BANKNIFTY25OCT54300PE,"BANKNIFTY",0,2025-10-28,54300,0.05,35,PE,NFO-OPT,NFO,2025-10-28
13559810,52968,BANKNIFTY25OCT52700CE,"BANKNIFTY",0,2025-10-28,52700,0.05,35,CE,NFO-OPT,NFO,2025-10-28
15030274,58712,NIFTY25OCT22800PE,"NIFTY",0,2025-10-28,22800,0.05,75,PE,NFO-OPT,NFO,2025-10-28
13603842,53140,BANKNIFTY25OCT57500CE,"BANKNIFTY",0,2025-10-28,57500,0.05,35,CE,NFO-OPT,NFO,2025-10-28
15032066,58719,NIFTY25OCT22950PE,"NIFTY",0,2025-10-28,22950,0.05,75,PE,NFO-OPT,NFO,2025-10-28
13551874,52937,BANKNIFTY25OCT51200PE,"BANKNIFTY",0,2025-10-28,51200,0.05,35,PE,NFO-OPT,NFO,2025-10-28
10942466,42744,NIFTY25O1426200PE,"NIFTY",0,2025-10-14,26200,0.05,75,PE,NFO-OPT,NFO,2025-10-14
13605122,53145,BANKNIFTY25OCT57700PE,"BANKNIFTY",0,2025-10-28,57700,0.05,35,PE,NFO-OPT,NFO,2025-10-28
13562114,52977,BANKNIFTY25OCT53100PE,"BANKNIFTY",0,2025-10-28,53100,0.05,35,PE,NFO-OPT,NFO,2025-10-28
15110914,59027,NIFTY25OCT26150PE,"NIFTY",0,2025-10-28,26150,0.05,75,PE,NFO-OPT,NFO,2025-10-28
15094274,58962,NIFTY25OCT25750PE,"NIFTY",0,2025-10-28,25750,0.05,75,PE,NFO-OPT,NFO,2025-10-28
15036674,58737,NIFTY25OCT23250PE,"NIFTY",0,2025-10-28,23250,0.05,75,PE,NFO-OPT,NFO,2025-10-28
13558786,52964,BANKNIFTY25OCT52500CE,"BANKNIFTY",0,2025-10-28,52500,0.05,35,CE,NFO-OPT,NFO,2025-10-28
10893570,42553,NIFTY25O1423150PE,"NIFTY",0,2025-10-14,23150,0.05,75,PE,NFO-OPT,NFO,2025-10-14
15092738,58956,NIFTY25OCT25700CE,"NIFTY",0,2025-10-28,25700,0.05,75,CE,NFO-OPT,NFO,2025-10-28
10920194,42657,NIFTY25O1424750CE,"NIFTY",0,2025-10-14,24750,0.05,75,CE,NFO-OPT,NFO,2025-10-14
13556994,52957,BANKNIFTY25OCT52100PE,"BANKNIFTY",0,2025-10-28,52100,0.05,35,PE,NFO-OPT,NFO,2025-10-28
10929666,42694,NIFTY25O1425300PE,"NIFTY",0,2025-10-14,25300,0.05,75,PE,NFO-OPT,NFO,2025-10-14
13621506,53209,BANKNIFTY25OCT59000CE,"BANKNIFTY",0,2025-10-28,59000,0.05,35,CE,NFO-OPT,NFO,2025-10-28
15080962,58910,NIFTY25OCT25000PE,"NIFTY",0,2025-10-28,25000,0.05,75,PE,NFO-OPT,NFO,2025-10-28
13778690,53823,BANKNIFTY25OCT60700PE,"BANKNIFTY",0,2025-10-28,60700,0.05,35,PE,NFO-OPT,NFO,2025-10-28
10934786,42714,NIFTY25O1425600PE,"NIFTY",0,2025-10-14,25600,0.05,75,PE,NFO-OPT,NFO,2025-10-14
